% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	delay	stdDev	min	max	PduSize	stdDev	min	max
0.5	0.75	1	1	1	3	5	2258	5	2258	0.00441158	0.000959072	0.0030377	0.00559409	451.6	428.37	42	1066	
0.75	1	1	1	1	3	21	22386	21	22386	0.0142163	0.00555362	0.00562728	0.0264953	1066	0	1066	1066	
0.75	1	1	2	2	3	77	79010	69	70482	0.0082449	0.00384276	0.0030377	0.0159217	1021.48	191.152	42	1066	
1	1.25	1	1	1	3	40	42640	33	35178	0.022032	0.00933196	0.0116273	0.0485257	1066	0	1066	1066	
1	1.25	1	2	2	3	85	90610	85	90610	0.00666322	0.00237515	0.00362728	0.0146577	1066	0	1066	1066	
1.25	1.5	1	1	1	3	38	40508	43	45838	0.0117563	0.0057579	0.00362728	0.0293481	1066	0	1066	1066	
1.25	1.5	1	2	2	3	75	79950	70	74620	0.00682834	0.00196286	0.00334808	0.0115105	1066	0	1066	1066	
1.5	1.75	1	1	1	3	1	1066	1	1066	0.00559368	0	0.00559368	0.00559368	1066	0	1066	1066	
1.5	1.75	1	2	2	3	106	112996	109	116194	0.00691158	0.00226774	0.00362728	0.0137897	1066	0	1066	1066	
1.75	2	1	1	1	3	32	34112	32	34112	0.0100198	0.00505938	0.00462728	0.0243481	1066	0	1066	1066	
1.75	2	1	2	2	3	136	144976	130	138580	0.00656187	0.00259219	0.00320088	0.0147897	1066	0	1066	1066	
2	2.25	1	1	1	3	7	7462	7	7462	0.0122429	0.00657526	0.00562728	0.0219217	1066	0	1066	1066	
2	2.25	1	2	2	3	159	169494	155	165230	0.00612571	0.0022979	0.00320088	0.0137745	1066	0	1066	1066	
2.25	2.5	1	1	1	3	7	7462	7	7462	0.0195076	0.00864704	0.00762728	0.0313481	1066	0	1066	1066	
2.25	2.5	1	2	2	3	113	120458	112	119392	0.00725989	0.00254887	0.00362728	0.0139369	1066	0	1066	1066	
2.5	2.75	1	1	1	3	8	8528	7	7462	0.0127223	0.00337464	0.00662728	0.0162161	1066	0	1066	1066	
2.5	2.75	1	2	2	3	94	100204	100	106600	0.00644597	0.00276533	0.00320088	0.0146273	1066	0	1066	1066	
2.75	3	1	1	1	3	16	17056	17	18122	0.0125523	0.00569107	0.00461048	0.0222145	1066	0	1066	1066	
2.75	3	1	2	2	3	44	46904	44	46904	0.00696577	0.00306141	0.00347848	0.0157897	1066	0	1066	1066	
3	3.25	1	1	1	3	13	13858	12	12792	0.014321	0.00888725	0.00462728	0.0373481	1066	0	1066	1066	
3	3.25	1	2	2	3	118	125788	114	121524	0.00746548	0.00246882	0.00362728	0.0139217	1066	0	1066	1066	
3.25	3.5	1	1	1	3	11	11726	12	12792	0.00946441	0.00459414	0.00462728	0.0189217	1066	0	1066	1066	
3.25	3.5	1	2	2	3	65	69290	67	71422	0.00646286	0.00163354	0.00362728	0.0106425	1066	0	1066	1066	
3.5	3.75	1	1	1	3	32	34112	32	34112	0.0145307	0.00544091	0.00462728	0.0230689	1066	0	1066	1066	
3.5	3.75	1	2	2	3	104	110864	104	110864	0.0070008	0.00237117	0.00334808	0.0129369	1066	0	1066	1066	
3.75	4	1	1	1	3	46	49036	46	49036	0.0175596	0.0121284	0.00462728	0.0442161	1066	0	1066	1066	
3.75	4	1	2	2	3	67	71422	57	60762	0.0077512	0.00321982	0.00361048	0.0146729	1066	0	1066	1066	
4	4.25	1	1	1	3	61	65026	59	62894	0.023438	0.00830723	0.00662728	0.0422009	1066	0	1066	1066	
4	4.25	1	2	2	3	131	139646	134	142844	0.00878864	0.00447861	0.00362728	0.0223481	1066	0	1066	1066	
